GTIN Code;GTIN Name;Segmentation (GPC);GPC Segmentation Code;GPC Brick Code;GPC Class Code;GPC Family Code;GTIN Image;Brand Code;Brand;Brand Image;Brand Link;Brand Owner;Brand Owner Code;Brand Owner Link;Brand Owner Wikipedia Link;Brand Owner Image;GCP Code;GLN Code;Logistical Owner (GLN);GLN Country ISO Code;GLN City;GLN Postal Code;GLN Address2;GLN Address3;GLN Address4;GLN Last Change;GLN Return Code;Number of Units;Package Type Code;Package Type Name;Weight (g);Weight (oz);Volume (ml);Volume (fl oz);Alcohol by Volume;Alcohol by Weight;Registration;Registration Country ISO Code
0036192122268;Organic Peach Lemonade;Food - Beverage - Tobacco;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036192122268.jpg;3S2DN7;Santa Cruz;http://product.okfn.org.s3.amazonaws.com/images/brand/3S2DN7.jpg;http://www.santacruzorganic.com;;;;;;0036192;0036192000009;Santa Cruz Natural;US;Orrville;44667-0280;C-o THE J.M. SMUCKER COMPANY;One Strawberry Lane;OH;;0;1;;;;;946.0;32.0;;;GS1 US;US
0036192122459;Juice Organic Lemonade;Food - Beverage - Tobacco;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036192122459.jpg;3S2DN7;Santa Cruz;http://product.okfn.org.s3.amazonaws.com/images/brand/3S2DN7.jpg;http://www.santacruzorganic.com;;;;;;0036192;0036192000009;Santa Cruz Natural;US;Orrville;44667-0280;C-o THE J.M. SMUCKER COMPANY;One Strawberry Lane;OH;;0;1;;;;;;32.0;;;GS1 US;US
0036192122732;Iced Tea Organic Mango 32;Food - Beverage - Tobacco;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036192122732.jpg;3S2DN7;Santa Cruz;http://product.okfn.org.s3.amazonaws.com/images/brand/3S2DN7.jpg;http://www.santacruzorganic.com;;;;;;0036192;0036192000009;Santa Cruz Natural;US;Orrville;44667-0280;C-o THE J.M. SMUCKER COMPANY;One Strawberry Lane;OH;;0;1;;;;;;;;;GS1 US;US
0036192122817;Apple Juice Organic;Food - Beverage - Tobacco;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036192122817.jpg;3S2DN7;Santa Cruz;http://product.okfn.org.s3.amazonaws.com/images/brand/3S2DN7.jpg;http://www.santacruzorganic.com;;;;;;0036192;0036192000009;Santa Cruz Natural;US;Orrville;44667-0280;C-o THE J.M. SMUCKER COMPANY;One Strawberry Lane;OH;;0;1;;;;;;128.0;;;GS1 US;US
0036192123012;Apple Blueberry Sauce;Food - Beverage - Tobacco;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036192123012.jpg;3S2DN7;Santa Cruz;http://product.okfn.org.s3.amazonaws.com/images/brand/3S2DN7.jpg;http://www.santacruzorganic.com;;;;;;0036192;0036192000009;Santa Cruz Natural;US;Orrville;44667-0280;C-o THE J.M. SMUCKER COMPANY;One Strawberry Lane;OH;;0;1;;;652.0;23.0;;;;;GS1 US;US
0036192126235;Juice Drink Boxes Tropical Each Pack Of;Food - Beverage - Tobacco;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036192126235.jpg;3S2DN7;Santa Cruz;http://product.okfn.org.s3.amazonaws.com/images/brand/3S2DN7.jpg;http://www.santacruzorganic.com;;;;;;0036192;0036192000009;Santa Cruz Natural;US;Orrville;44667-0280;C-o THE J.M. SMUCKER COMPANY;One Strawberry Lane;OH;;0;1;;;;;;8.0;;;GS1 US;US
0036200000502;Pasta Sauce Old World Style;Food - Beverage - Tobacco;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036200000502.jpg;QEL52R;Ragù;http://product.okfn.org.s3.amazonaws.com/images/brand/QEL52R.jpg;http://www.ragu.com;;;;;;0036200;0041000000003;Lipton;US;Lisle;60532;2200 Cabot Drive, Suite 200;;IL;;0;1;;;;14.0;;;;;GS1 US;US
0036200002803;Robusto! 7 Herb Tomato;Food - Beverage - Tobacco;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036200002803.jpg;QEL52R;Ragù;http://product.okfn.org.s3.amazonaws.com/images/brand/QEL52R.jpg;http://www.ragu.com;;;;;;0036200;0041000000003;Lipton;US;Lisle;60532;2200 Cabot Drive, Suite 200;;IL;;0;1;;;;;;;;;GS1 US;US
0036200003008;Smooth Flavored Pasta Sauce With Meat;Food - Beverage - Tobacco;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036200003008.jpg;QEL52R;Ragù;http://product.okfn.org.s3.amazonaws.com/images/brand/QEL52R.jpg;http://www.ragu.com;;;;;;0036200;0041000000003;Lipton;US;Lisle;60532;2200 Cabot Drive, Suite 200;;IL;;0;1;;;;26.0;;;;;GS1 US;US
0036200004418;Pasta Sauce;Food - Beverage - Tobacco;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036200004418.jpg;QEL52R;Ragù;http://product.okfn.org.s3.amazonaws.com/images/brand/QEL52R.jpg;http://www.ragu.com;;;;;;0036200;0041000000003;Lipton;US;Lisle;60532;2200 Cabot Drive, Suite 200;;IL;;0;1;;;;26.0;;;;;GS1 US;US
